custom/total_reward,custom/total_distance,custom/routes_completed,custom/avg_speed,custom/mean_reward,custom/avg_center_dev,time/fps,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/iterations,train/std,train/clip_fraction,train/value_loss,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/loss,train/explained_variance,train/entropy_loss,train/approx_kl
[1.16829892],7.17395729443524,0.010174418604651164,[0.83523553],[0.01081758],0.0658008954827531,,,,,,,,,,,,,,,,,
-20.0,0.07251530140638351,0.002457002457002457,[0.20062127],-10.0,0.001764517516982528,,,,,,,,,,,,,,,,,
[0.06624052],6.005876140319742,0.007874015748031496,[1.15614444],[0.00132481],0.11758682327280325,,,,,,,,,,,,,,,,,
[-9.31314884],4.83033050596714,0.01272264631043257,[1.50138904],[-0.25869858],0.13801215544784184,,,,,,,,,,,,,,,,,
[-9.82543991],3.1331139924004674,0.005412719891745603,[0.95264727],[-0.27292889],0.18529456576067135,,,,,,,,,,,,,,,,,
[0.01377776],1.6982169598340988,0.006191950464396285,[1.21606893],[0.00105983],0.22377284166105185,,,,,,,,,,,,,,,,,
[0.21730942],7.865057114511728,0.0311284046692607,[1.18053352],[0.00319573],0.33353693345013785,,,,,,,,,,,,,,,,,
-20.0,0.11444826424121857,0.001941747572815534,[0.35288698],-10.0,0.011713550391975004,,,,,,,,,,,,,,,,,
[0.52513272],4.01589297875762,0.004975124378109453,[1.2695997],[0.01381928],0.06473082150327746,,,,,,,,,,,,,,,,,
[1.42454635],6.542022541165352,0.014989293361884369,[1.51650846],[0.03165659],0.0620590371613683,,,,,,,,,,,,,,,,,
-20.0,0.058294761925935745,0.0026595744680851063,[0.16371017],-10.0,0.01061215243777519,,,,,,,,,,,,,,,,,
[0.14736987],7.7734801303595304,0.023391812865497075,[1.52621596],[0.00283404],0.22012698803395012,,,,,,,,,,,,,,,,,
[-9.86508387],7.957952696830034,0.010884353741496598,[1.68535663],[-0.21922409],0.15214564446942613,,,,,,,,,,,,,,,,,
[-9.83083353],3.2998585924506187,0.004214963119072708,[1.19471395],[-0.32769445],0.1501533891994734,,,,,,,,,,,,,,,,,
[0.],2.601652193814516,0.004431314623338257,[0.90402741],[0.],0.09869596398744414,,,,,,,,,,,,,,,,,
[0.19852682],8.683615244925022,0.011363636363636364,[1.59998432],[0.00381782],0.2238340731714562,,,,,,,,,,,,,,,,,
-20.0,0.037924740463495255,0.01,[0.0900063],-10.0,0.0009354581260481938,,,,,,,,,,,,,,,,,
[-10.],4.380714687285945,0.00946969696969697,[1.02418683],[-0.22727273],0.15046751607414807,,,,,,,,,,,,,,,,,
[0.00992366],3.3382436111569405,0.012195121951219513,[1.23150309],[0.00033079],0.3279450715661897,,,,,,,,,,,,,,,,,
[0.17537048],4.581840720027685,0.008880994671403197,[1.57912232],[0.00548033],0.061617332225456865,,,,,,,,,,,,,,,,,
[-9.94302646],0.6918307300657034,0.002635046113306983,[0.54522854],[-0.76484819],0.010743173022937787,,,,,,,,,,,,,,,,,
[-9.88578982],5.5234420001506805,0.006764374295377677,[1.18404533],[-0.18652434],0.18590048974867157,,,,,,,,,,,,,,,,,
[0.19964448],9.55308087170124,0.013227513227513227,[1.59535082],[0.0028934],0.2882200944467166,,,,,,,,,,,,,,,,,
[-9.92494545],0.3816860541701317,0.0009615384615384616,[0.62172146],[-1.65415758],0.025646586394861313,,,,,,,,,,,,,,,,,
[-9.49445373],6.358099769800901,0.021406727828746176,[1.6514477],[-0.23736134],0.08572417834234103,,,,,,,,,,,,,,,,,
[-9.18038695],5.626159526407719,0.015306122448979591,[1.38038556],[-0.17321485],0.13437439094360648,,,,,,,,,,,,,,,,,
[0.],11.3583963541314,0.0449438202247191,[1.83431945],[0.],0.16714200296634008,,,,,,,,,,,,,,,,,
[0.17698626],3.7649514451622963,0.013157894736842105,[1.48555995],[0.00655505],0.0813575074433719,,,,,,,,,,,,,,,,,
-20.0,0.3108684718608856,0.0014992503748125937,[0.95779988],-10.0,0.006420737406928821,,,,,,,,,,,,,,,,,
,,,,,,8,-4.934923310344828,1024,35.0,120,1,,,,,,,,,,,
[0.13374996],3.988858484197408,0.005037783375314861,[1.15200217],[0.00431451],0.11741749166649834,,,,,,,1.0036789178848267,0.03369140625,1.8793168529868125,0.2,9.9797351809024e-05,-0.00477160366717726,10,0.02411070466041565,0.003530561923980713,-2.8411296516656876,0.0039068037
[0.],3.2993910536170006,0.007067137809187279,[1.15387851],[0.],0.06160017572370175,,,,,,,,,,,,,,,,,
[0.],7.49389960616827,0.022099447513812154,[2.03902837],[0.],0.1554363661131062,,,,,,,,,,,,,,,,,
-20.0,0.08796576410531998,0.0017035775127768314,[0.27076058],-10.0,0.010464584178206858,,,,,,,,,,,,,,,,,
[0.80175183],3.7228886671364307,0.005471956224350205,[1.08886048],[0.02166897],0.05567785357890815,,,,,,,,,,,,,,,,,
[0.12770253],6.696211121976376,0.006289308176100629,[1.47911227],[0.00266047],0.19827931041856126,,,,,,,,,,,,,,,,,
-20.0,0.2748450040817261,0.001589825119236884,[0.74997708],-10.0,0.025708284857838506,,,,,,,,,,,,,,,,,
[0.04085628],3.686951481504366,0.005221932114882507,[1.17192431],[0.00123807],0.1983241078515572,,,,,,,,,,,,,,,,,
