custom/avg_speed,custom/avg_center_dev,custom/total_reward,custom/routes_completed,custom/total_distance,custom/mean_reward,rollout/ep_rew_mean,time/time_elapsed,time/iterations,time/fps,time/total_timesteps,rollout/ep_len_mean,train/learning_rate,train/n_updates,train/clip_fraction,train/loss,train/explained_variance,train/value_loss,train/entropy_loss,train/clip_range,train/std,train/approx_kl,train/policy_gradient_loss
[1.63795373],0.07201971658870311,[0.57423392],0.00819672131147541,9.424944268772379,[0.01044062],,,,,,,,,,,,,,,,,
[2.04040021],0.18240124982543338,[0.],0.009937888198757764,7.26349588483572,[0.],,,,,,,,,,,,,,,,,
[0.31011437],0.015365481098795465,-20.0,0.0026246719160104987,0.1006668210029602,-10.0,,,,,,,,,,,,,,,,,
[0.78831716],0.1575215563136397,[0.03469441],0.013157894736842105,3.358168598730117,[0.00102042],,,,,,,,,,,,,,,,,
[1.14517289],0.14731668928965613,[0.18957887],0.0031872509960159364,3.3134808763861656,[0.00729149],,,,,,,,,,,,,,,,,
[1.22299779],0.07875678673547318,[0.26143179],0.00816326530612245,3.837952882051468,[0.01045727],,,,,,,,,,,,,,,,,
[0.26398642],0.0010275414620584888,-20.0,0.0016207455429497568,0.10108818858861923,-10.0,,,,,,,,,,,,,,,,,
[1.08242005],0.10633434491250941,[0.13254317],0.004122011541632316,4.556783990003169,[0.00339854],,,,,,,,,,,,,,,,,
[2.15395976],0.16547964506439566,[0.],0.03373015873015873,16.6546713411808,[0.],,,,,,,,,,,,,,,,,
[0.80995268],0.026176881301285072,-20.0,0.0017953321364452424,0.24975252151489258,-10.0,,,,,,,,,,,,,,,,,
[1.31781696],0.0867372735313224,[-9.40880639],0.010256410256410256,7.78586948022712,[-0.17106921],,,,,,,,,,,,,,,,,
[0.89863155],0.1187687033473937,[0.],0.0034482758620689655,2.6315958742052317,[0.],,,,,,,,,,,,,,,,,
[1.2357443],0.21445406400240385,[-9.98239329],0.0024067388688327317,1.7835958376526833,[-0.76787641],,,,,,,,,,,,,,,,,
[1.90438716],0.1981746487784615,[0.68628645],0.03441295546558704,16.464780190959573,[0.00807396],,,,,,,,,,,,,,,,,
[0.42909609],0.006725557924998885,-20.0,0.0022172949002217295,0.14288008213043213,-10.0,,,,,,,,,,,,,,,,,
[0.91567232],0.11762461317631101,[0.31379943],0.007763975155279503,4.723715379834175,[0.00729766],,,,,,,,,,,,,,,,,
[1.11422363],0.20162066468479267,[0.12427783],0.006666666666666667,2.396421641111374,[0.00621389],,,,,,,,,,,,,,,,,
[1.63149321],0.166920993299305,[0.],0.01348314606741573,5.421012967824936,[0.],,,,,,,,,,,,,,,,,
[0.22210089],0.010329014851655008,-20.0,0.00202020202020202,0.07895389199256897,-10.0,,,,,,,,,,,,,,,,,
[1.23934985],0.11837814677244553,[-9.86740492],0.006858710562414266,4.86348721338436,[-0.25966855],,,,,,,,,,,,,,,,,
[1.82690199],0.11656108872064523,[0.26676587],0.020967741935483872,11.838426024420187,[0.0044461],,,,,,,,,,,,,,,,,
[1.46535772],0.1615716815895611,[-9.92642625],0.00641025641025641,2.753088802099228,[-0.58390743],,,,,,,,,,,,,,,,,
[1.55589898],0.25354380614189653,[0.],0.006631299734748011,4.532941740006208,[0.],,,,,,,,,,,,,,,,,
[0.8160062],0.07378459125557334,[-10.],0.027777777777777776,3.1460769190452993,[-0.27027027],,,,,,,,,,,,,,,,,
[1.2324675],0.09654484444199785,[0.51157681],0.00501002004008016,4.139146815985441,[0.01550233],,,,,,,,,,,,,,,,,
[1.36441145],0.15176985912605928,[0.16057668],0.009784735812133072,4.136041343212128,[0.00535256],,,,,,,,,,,,,,,,,
[0.33401104],0.02998427405494337,[-10.],0.0019569471624266144,0.444952055811882,[-0.83333333],,,,,,,,,,,,,,,,,
[1.47382764],0.14090922595326366,[-9.7314147],0.004398826979472141,2.543901428580284,[-0.64876098],,,,,,,,,,,,,,,,,
[1.35206675],0.18277899011046242,[-9.95953025],0.0035502958579881655,3.1695607751607895,[-0.45270592],,,,,,,,,,,,,,,,,
[0.88224347],0.06030584106578858,[-9.69769298],0.00992063492063492,4.102526907343417,[-0.21081941],,,,,,,,,,,,,,,,,
[0.95360884],0.16851523187588077,[0.09200412],0.010101010101010102,1.9657376259565353,[0.00484232],,,,,,,,,,,,,,,,,
[0.58079085],0.07953061827763208,[-9.92303843],0.0041753653444676405,1.1996516846120358,[-0.4510472],,,,,,,,,,,,,,,,,
[1.50152797],0.12325249119166169,[-10.],0.004155124653739612,2.6110009849071503,[-0.76923077],,,,,,,,,,,,,,,,,
[1.05867373],0.2715732513679883,[0.01105675],0.01327433628318584,2.3545748442411423,[0.00055284],,,,,,,,,,,,,,,,,
[1.04006231],0.09601364978739535,[0.17481455],0.004761904761904762,3.116654347628355,[0.00624338],,,,,,,,,,,,,,,,,
[1.75181964],0.12877758456644256,[0.31098962],0.008158508158508158,6.823990657925606,[0.0086386],,,,,,,,,,,,,,,,,
[0.0881026],0.006302117735741648,-20.0,0.010309278350515464,0.028715020045638084,-10.0,,,,,,,,,,,,,,,,,
[0.68877758],0.10110853667414386,[0.08398936],0.0019193857965451055,1.5031693305354565,[0.0038177],,,,,,,,,,,,,,,,,
,,,,,,-4.335507342105264,143,1,7,1024,26.94736842105263,,,,,,,,,,,
[0.17512475],2.3906871027658694,[-9.98304013],0.024390243902439025,18.906042098999023,[-4.99152007],,,,,,,9.9797351809024e-05,10,0.0421875,-0.14054447412490845,0.012892067432403564,2.3131564946379513,-2.8399425834417342,0.2,1.0031397342681885,0.005423355,-0.0007910953019745648
